Wilayah;Keterangan;Bahasa Indonesia;Bahasa Inggris;Matematika;IPA;Fisika;Kimia;Biologi;Ekonomi;Sosiologi;Geografi;Kejuruan;Jumlah Peserta;latitude;longitude
Provinsi Nusa Tenggara Timur;Nilai Rata-rata Sekolah UN SMA IPA;65,08;52,17;36,54;;42,41;34,57;41,06;;;;;15349;-86.573.819;1.210.793.705
Provinsi Nusa Tenggara Timur;Nilai Rata-rata Sekolah UN SMP;64,86;54,69;48,26;53,81;;;;;;;;94695;-86.573.819;1.210.793.705
Provinsi Papua;Nilai Rata-rata Sekolah UN SMP;65,76;58,8;54,6;58,24;;;;;;;;32282;-4.269.928;1.380.803.529
Provinsi Papua;Nilai Rata-rata Sekolah UN SMA IPA;64,54;49,83;40,5;;41,36;43,98;44,69;;;;;7244;-4.269.928;1.380.803.529
Provinsi Papua;Nilai Rata-rata Sekolah UN SMA IPS;53,53;45,08;44,24;;;;;41,93;50,54;38,18;;8590;-4.269.928;1.380.803.529
Provinsi Papua;Nilai Rata-rata Sekolah UN SMA SMK;51,89;49,81;40,55;;;;;;;;72,8;6530;-4.269.928;1.380.803.529
Provinsi Papua Barat;Nilai Rata-rata Sekolah UN SMP;71,84;63,81;63,92;65,6;;;;;;;;13494;-13.361.154;1.331.747.162
Provinsi Papua Barat;Nilai Rata-rata Sekolah UN SMA IPA;73,52;58,78;59,06;;58,37;60,22;63,9;;;;;3138;-13.361.154;1.331.747.162
Provinsi Papua Barat;Nilai Rata-rata Sekolah UN SMA IPS;64,94;52,74;57,12;;;;;52,08;61,69;50,68;;3692;-13.361.154;1.331.747.162
Provinsi Papua Barat;Nilai Rata-rata Sekolah UN SMA SMK;63,63;60,67;60,23;;;;;;;;77,07;3090;-13.361.154;1.331.747.162
Provinsi Riau;Nilai Rata-rata Sekolah UN SMA IPS;68,13;61,33;57,68;;;;;57,18;60,81;48,97;;28153;0.2933469;1.017.068.294
Provinsi Riau;Nilai Rata-rata Sekolah UN SMA SMK;63,48;56,49;46,86;;;;;;;;78,81;23019;0.2933469;1.017.068.294
Provinsi Riau;Nilai Rata-rata Sekolah UN SMA IPA;76,71;67,36;66,45;;75,94;70,44;68,37;;;;;21877;0.2933469;1.017.068.294
Provinsi Riau;Nilai Rata-rata Sekolah UN SMP;73,39;66,85;62,39;63,5;;;;;;;;100632;0.2933469;1.017.068.294
Provinsi Sulawesi Barat;Nilai Rata-rata Sekolah UN SMP;65,73;58,3;57,66;60,59;;;;;;;;22530;-28.441.371;1.192.320.784
Provinsi Sulawesi Barat;Nilai Rata-rata Sekolah UN SMA IPA;66,39;57,26;48,17;;51,29;45,07;48,93;;;;;3594;-28.441.371;1.192.320.784
Provinsi Sulawesi Barat;Nilai Rata-rata Sekolah UN SMA IPS;61,46;51,15;48,13;;;;;48,5;57,15;47,38;;5261;-28.441.371;1.192.320.784
Provinsi Sulawesi Barat;Nilai Rata-rata Sekolah UN SMA SMK;55,94;45,38;39,2;;;;;;;;74,21;7016;-28.441.371;1.192.320.784
Provinsi Sulawesi Selatan;Nilai Rata-rata Sekolah UN SMA IPS;65,72;64,23;66,39;;;;;62,64;52,74;51,33;;34876;-36.687.994;1.199.740.534
Provinsi Sulawesi Selatan;Nilai Rata-rata Sekolah UN SMA SMK;63,53;65,67;56,73;;;;;;;;77,87;36616;-36.687.994;1.199.740.534
Provinsi Sulawesi Selatan;Nilai Rata-rata Sekolah UN SMA IPA;73,96;68,53;69,24;;79,37;53,86;77,31;;;;;43818;-36.687.994;1.199.740.534
Provinsi Sulawesi Selatan;Nilai Rata-rata Sekolah UN SMP;70,34;65,33;65,09;67,62;;;;;;;;150132;-36.687.994;1.199.740.534
Provinsi Sulawesi Tengah;Nilai Rata-rata Sekolah UN SMA IPS;57,62;49,96;37,35;;;;;41,41;49,06;39,91;;11532;-14.300.254;1.214.456.179
Provinsi Sulawesi Tengah;Nilai Rata-rata Sekolah UN SMA SMK;57,66;44,43;35,12;;;;;;;;74,43;9633;-14.300.254;1.214.456.179
Provinsi Sulawesi Tengah;Nilai Rata-rata Sekolah UN SMA IPA;66,36;57,62;41,74;;49,36;37,55;47,26;;;;;10289;-14.300.254;1.214.456.179
Provinsi Sulawesi Tengah;Nilai Rata-rata Sekolah UN SMP;66,14;57,96;53,78;58,72;;;;;;;;48652;-14.300.254;1.214.456.179
Provinsi Sulawesi Tenggara;Nilai Rata-rata Sekolah UN SMP;68,96;59,94;59,13;63,5;;;;;;;;45964;-414.491;122.174.605
Provinsi Sulawesi Tenggara;Nilai Rata-rata Sekolah UN SMA IPA;70,62;66,62;66,97;;72,91;60,38;65,35;;;;;13426;-414.491;122.174.605
Provinsi Sulawesi Tenggara;Nilai Rata-rata Sekolah UN SMA IPS;61,56;58,92;52,94;;;;;56,18;58,9;47,49;;13925;-414.491;122.174.605
Provinsi Sulawesi Tenggara;Nilai Rata-rata Sekolah UN SMA SMK;61,96;51,44;43,3;;;;;;;;75,7;7159;-414.491;122.174.605
Provinsi Sulawesi Utara;Nilai Rata-rata Sekolah UN SMA IPS;62,23;64,62;59,96;;;;;55,5;57,48;48,28;;7222;0.6246932;1.239.750.018
Provinsi Sulawesi Utara;Nilai Rata-rata Sekolah UN SMA SMK;59,94;55,13;46,7;;;;;;;;76,96;13192;0.6246932;1.239.750.018
Provinsi Sulawesi Utara;Nilai Rata-rata Sekolah UN SMA IPA;70,72;73,07;64,91;;71,68;61,03;63,86;;;;;8269;0.6246932;1.239.750.018
Provinsi Sulawesi Utara;Nilai Rata-rata Sekolah UN SMP;71,07;68,02;66,42;66,89;;;;;;;;39146;0.6246932;1.239.750.018
Provinsi Sumatera Barat;Nilai Rata-rata Sekolah UN SMA IPS;69,69;48,16;67,71;;;;;59,31;60,91;45,9;;27051;-0.7399397;1.008.000.051
Provinsi Sumatera Barat;Nilai Rata-rata Sekolah UN SMA SMK;63,86;47,77;38,88;;;;;;;;75,66;21419;-0.7399397;1.008.000.051
Provinsi Sumatera Barat;Nilai Rata-rata Sekolah UN SMA IPA;76,57;56,02;58,27;;75,85;69,03;67,16;;;;;22711;-0.7399397;1.008.000.051
Provinsi Sumatera Barat;Nilai Rata-rata Sekolah UN SMP;74,25;59,15;55,71;59,1;;;;;;;;91109;-0.7399397;1.008.000.051
Provinsi Sumatera Selatan;Nilai Rata-rata Sekolah UN SMP;69,71;64,14;61,87;62,69;;;;;;;;129513;-33.194.374;103.914.399
Provinsi Sumatera Selatan;Nilai Rata-rata Sekolah UN SMA IPA;75,94;65,88;67,66;;74,15;66,7;64,61;;;;;30796;-33.194.374;103.914.399
Provinsi Sumatera Selatan;Nilai Rata-rata Sekolah UN SMA IPS;69,6;60,15;65,49;;;;;59,4;62,57;58,08;;36738;-33.194.374;103.914.399
Provinsi Sumatera Selatan;Nilai Rata-rata Sekolah UN SMA SMK;58,33;49,64;39,22;;;;;;;;76,85;25655;-33.194.374;103.914.399
Provinsi Sumatera Utara;Nilai Rata-rata Sekolah UN SMA IPS;76,39;69,97;72,02;;;;;66,46;66,46;58,11;;53920;21.153.547;995.450.974
Provinsi Sumatera Utara;Nilai Rata-rata Sekolah UN SMA SMK;63,39;65,12;65,6;;;;;;;;79,43;81615;21.153.547;995.450.974
Provinsi Sumatera Utara;Nilai Rata-rata Sekolah UN SMA IPA;81,51;74,5;71,87;;79,06;77,9;71,88;;;;;67478;21.153.547;995.450.974
Provinsi Sumatera Utara;Nilai Rata-rata Sekolah UN SMP;73,98;72,65;67,88;69,58;;;;;;;;265315;21.153.547;995.450.974
Kabupaten Aceh Barat;Nilai Rata-rata Sekolah UN SMA SMK;44,51;33,13;23,49;;;;;;;;68,78;575;44.542.745;961.526.985
Kabupaten Aceh Barat;Nilai Rata-rata Sekolah UN SMA IPS;61,78;59,78;54,58;;;;;51,73;53,02;49,94;;964;44.542.745;961.526.985
Kabupaten Aceh Barat;Nilai Rata-rata Sekolah UN SMA IPA;73,27;70,13;47,25;;65,61;67,84;56,39;;;;;1177;44.542.745;961.526.985
Kabupaten Aceh Barat;Nilai Rata-rata Sekolah UN SMP;63,46;53,24;49,17;46,01;;;;;;;;3272;44.542.745;961.526.985
Kabupaten Aceh Barat Daya;Nilai Rata-rata Sekolah UN SMP;55,03;40,99;36,37;37,83;;;;;;;;2776;30.512.643;973.368.031
Kabupaten Aceh Barat Daya;Nilai Rata-rata Sekolah UN SMA IPA;59,15;58,14;42,45;;57,57;47,15;50,05;;;;;1188;30.512.643;973.368.031
Kabupaten Aceh Barat Daya;Nilai Rata-rata Sekolah UN SMA IPS;43,73;43,25;23,47;;;;;34,17;36,23;30,2;;758;30.512.643;973.368.031
Kabupaten Aceh Barat Daya;Nilai Rata-rata Sekolah UN SMA SMK;47,26;32,9;23,49;;;;;;;;71,23;249;30.512.643;973.368.031
Kabupaten Aceh Besar;Nilai Rata-rata Sekolah UN SMP;65,65;66,05;58,29;61,6;;;;;;;;5116;54.529.168;954.777.811
Kabupaten Aceh Besar;Nilai Rata-rata Sekolah UN SMA IPA;70,47;74,24;60,71;;74,4;70,89;68,79;;;;;2222;54.529.168;954.777.811
Kabupaten Aceh Besar;Nilai Rata-rata Sekolah UN SMA IPS;57,97;65,29;61,33;;;;;59,46;54,95;50,26;;1131;54.529.168;954.777.811
Kabupaten Aceh Besar;Nilai Rata-rata Sekolah UN SMA SMK;51,7;47,18;28,5;;;;;;;;74,87;498;54.529.168;954.777.811
Kabupaten Aceh Jaya;Nilai Rata-rata Sekolah UN SMA SMK;49,63;57,87;43,77;;;;;;;;74,75;215;47.873.684;956.457.951
Kabupaten Aceh Jaya;Nilai Rata-rata Sekolah UN SMA IPS;57,37;59,08;58,43;;;;;45,81;56,9;49,18;;342;47.873.684;956.457.951
Kabupaten Aceh Jaya;Nilai Rata-rata Sekolah UN SMA IPA;61,47;67,41;70,3;;77,52;50,99;71,61;;;;;383;47.873.684;956.457.951
Kabupaten Aceh Jaya;Nilai Rata-rata Sekolah UN SMP;77,21;69,5;70,34;68,71;;;;;;;;1264;47.873.684;956.457.951
Kabupaten Aceh Selatan;Nilai Rata-rata Sekolah UN SMP;65,15;59,91;61,23;58,69;;;;;;;;4393;33.115.056;973.516.558
